ID,DBH_cm,Height
PE35,10.8,5.2
PE38,8.5,5
PE42,14.8,7.4
PE43,18.5,8.1
PE45,12,6.1
PE46,23.8,7.3
PE47,15.7,8.2
PE48,18.6,8.7
PE106,17.3,7.5
PE116,16.5,6.9
PE130,13.5,8.5
PE134,8.4,5.2
PE160,10.1,4.9
PE162,13.5,7
PE164,10.9,4.6
PE168,7.8,4.7
PE170,7.6,4
PE172,28.9,8.4
PE174,14.2,7.5
PE175,21,7.5
PE176,14.9,7.3
PE180,19.4,7.7
PE184,15.5,5.5
PE411,9.4,5
PE454,16.9,5.2
PE455,14.8,4.9
PE467,16.5,6.7
