ID,DBH_cm,Height
BT4,10.8,5.6
BT5,11,6.9
BT20,14.3,6
BT25,13.9,5.7
BT30,15.9,6
BT31,13,5.1
BT33,12.1,8.3
BT35,22.1,9.6
BT38,12.1,7.1
BT43,22.3,9
BT51,13.6,6.2
BT54,24.3,11.1
BT57,20.7,6.4
BT62,27,11.7
BT70,15.9,9.5
BT100,11.3,6.1
BT104,21.1,8.2
BT105,21.3,9.1
BT108,14.8,6.8
BT114,17.4,10.2
BT118,9.2,4.8
BT121,17.9,9.6
