ID,DBH_cm,Height
BF147,26.9,10
BF149,14.9,6
BF153,13.1,6.3
BF163,11.8,6.4
BF165,22.3,13.1
BF182,10.1,6.2
BF187,30.5,12
BF188,29.1,14.1
BF190,20.5,12.3
BF191,25.2,13.8
BF193,7.4,4
BF202,12.2,6.4
BF234,23.2,11
BF252,15.7,9.5
BF255,14.2,8.4
BF277,18.6,10.8
BF278,18.8,9.2
BF280,18.2,19.5
BF283,22.5,27.8
BF300,16.4,10.2
BF324,17.4,10.4
BF340,5.5,3.4
BF346,7.6,4.2
